ie,davis_class_any,davis_class_code,mean_ie_lu_price,med_ie_lu_price,sd_ie_lu_price,count_ie_lu_price
338,pasture,11,17240.625,17240.625,,1
338,tomato,13,2532.3218,2532.3218,2460.4905,2
338,truck crops,14,15647.778,15647.778,,1
339,grain,7,8195.0449,7168.3984,6459.3472,5
339,orchard,9,20165.313,20165.313,,1
339,tomato,13,17146.563,17241.891,7898.2905,4
340,alfalfa,1,49791.086,49791.086,,1
342,alfalfa,1,8993.0527,8993.0527,,1
345,fallow,5,6247.1133,6247.1133,2747.7466,2
345,pasture,11,10651.524,11542.855,3062.9094,3
346,alfalfa,1,7677.1768,7677.1768,,1
346,fallow,5,4144.5889,4144.5889,2244.4187,2
346,pasture,11,9951.5459,5888.8877,9089.5469,3
346,rice,12,7192.6064,7192.6064,146.22437,2
347,alfalfa,1,195564.56,195564.56,,1
347,pasture,11,10418.751,4570.6025,13740.854,4
348,alfalfa,1,10692.979,10692.979,2957.9824,2
348,fallow,5,35906.027,35906.027,29426.465,2
348,grain,7,19276.492,20000,10224.803,3
348,orchard,9,104173.28,104173.28,134673.47,2
348,tomato,13,13207.049,13207.049,4987.8892,2
349,alfalfa,1,10721.226,10721.226,,1
349,developed,4,116064.95,116064.95,,1
349,grain,7,16959.459,18236.09,10350.487,4
349,orchard,9,26893.711,26893.711,17552.203,2
349,tomato,13,14345.049,14345.049,5596.2417,2
350,fallow,5,8764.3633,8764.3633,6399.8022,2
350,grain,7,4284.2095,4284.2095,,1
350,orchard,9,12518.172,12518.172,,1
351,grain,7,5431.8975,5431.8975,,1
352,other,10,10033.47,10033.47,,1
354,alfalfa,1,11844.781,11839.76,8867.4307,4
354,fallow,5,9035.0156,9035.0156,2082.0137,2
354,grain,7,16628.828,16628.828,9196.2646,2
354,orchard,9,25189.432,25189.432,1712.2756,2
354,rice,12,5684.7744,5684.7744,3153.7288,2
355,alfalfa,1,23293.119,23293.119,,1
355,developed,4,375000,375000,,1
355,fallow,5,65158.18,65158.18,,1
355,grain,7,16861.391,15503.654,7244.3008,13
355,orchard,9,29913.063,25371.98,15507.952,4
355,pasture,11,610.83459,610.83459,,1
355,tomato,13,18680.973,14800.85,8513.2295,6
356,alfalfa,1,16803.564,13773.337,13194.916,3
356,fallow,5,110184.22,110184.22,128753.52,2
356,grain,7,66318.789,19221.055,91828.18,7
356,orchard,9,22288.01,22288.01,,1
356,tomato,13,15127.087,12430.271,13696.418,5
357,fallow,5,2721.6184,2721.6184,,1
358,alfalfa,1,3466.9812,3466.9812,,1
358,grain,7,11429.949,11429.949,,1
359,alfalfa,1,7758.9565,7758.9565,,1
359,developed,4,107948.65,107948.65,,1
360,alfalfa,1,20703.943,20703.943,7025.2681,2
360,grain,7,873613.31,873613.31,,1
361,fallow,5,22229.561,13807.613,17187.672,3
361,grain,7,3387.3201,3387.3201,,1
361,rice,12,16485.439,16485.439,,1
365,fallow,5,9829.4668,9829.4668,,1
365,rice,12,1899.8827,1899.8827,698.10205,2
366,rice,12,4844.7588,4844.7588,3466.5818,2
367,pasture,11,10960.662,6939.8027,8710.0244,4
367,rice,12,7296.0024,7296.0024,,1
368,pasture,11,97402.594,97402.594,,1
369,fallow,5,13305.66,16205.705,10258.807,5
369,rice,12,17804.957,17804.957,,1
370,fallow,5,19994.275,16512.451,9794.2783,3
370,pasture,11,38821.395,25469.65,45600.387,4
371,fallow,5,50651.531,50651.531,,1
371,pasture,11,21267.838,21267.838,4740.5488,2
372,developed,4,129254.31,129254.31,,1
373,pasture,11,2428569.5,2428569.5,,1
375,alfalfa,1,168577.16,168577.16,,1
375,fallow,5,15120.192,15120.192,,1
